verse num,verse id,num_manual_mappings,num_suggested_mappings,num_correct_mappings
0,40001001,8,5,0
1,40001002,14,15,6
2,40001003,16,15,4
3,40001004,12,10,4
4,40001005,16,15,8
5,40001006,13,13,3
6,40001007,12,12,2
7,40001008,12,12,6
8,40001009,12,12,5
9,40001010,12,12,5
10,40001011,11,10,3
11,40001012,12,12,5
12,40001013,12,11,1
13,40001014,12,13,4
14,40001015,12,12,5
15,40001016,13,12,4
16,40001017,29,26,1
17,40001018,21,22,3
18,40001019,15,11,0
19,40001020,30,24,5
20,40001021,16,17,1
21,40001022,13,11,2
22,40001023,18,16,2
23,40001024,17,17,2
24,40001025,12,12,5
25,40002001,18,17,3
26,40002002,19,17,2
27,40002003,11,9,2
28,40002004,16,14,3
29,40002005,13,13,5
30,40002006,22,23,0
31,40002007,14,11,0
32,40002008,22,18,1
33,40002009,25,23,3
34,40002010,8,6,1
35,40002011,28,29,6
36,40002012,15,12,1
37,40002013,36,34,3
38,40002014,14,12,5
39,40002015,21,17,2
40,40002016,35,33,7
41,40002017,9,7,1
42,40002018,19,19,8
43,40002019,12,12,2
44,40002020,21,18,3
45,40002021,14,13,2
46,40002022,22,22,3
47,40002023,16,11,1
48,40003001,13,14,6
49,40003002,9,7,4
50,40003003,23,16,5
51,40003004,23,24,4
52,40003005,14,14,5
53,40003006,10,11,0
54,40003007,23,22,4
55,40003008,6,6,1
56,40003009,21,22,3
57,40003010,22,16,2
58,40003011,31,23,1
59,40003012,22,24,7
60,40003013,13,14,1
61,40003014,15,14,2
62,40003015,19,17,3
63,40003016,26,25,4
64,40003017,15,12,2
65,40004001,13,9,3
66,40004002,9,7,2
67,40004003,16,17,2
68,40004004,19,16,1
69,40004005,17,15,4
70,40004006,29,25,6
71,40004007,10,9,0
72,40004008,21,17,3
73,40004009,11,8,2
74,40004010,16,14,1
75,40004011,12,9,3
76,40004012,8,6,2
77,40004013,14,14,4
78,40004014,8,8,1
79,40004015,13,10,2
80,40004016,19,15,4
81,40004017,14,13,5
82,40004018,24,20,1
83,40004019,11,7,2
84,40004020,8,5,0
85,40004021,26,29,3
86,40004022,11,10,1
87,40004023,24,25,4
88,40004024,27,27,5
89,40004025,17,18,1
90,40005001,15,13,0
91,40005002,7,6,1
92,40005003,11,10,3
93,40005004,6,4,1
94,40005005,8,7,3
95,40005006,9,9,1
96,40005007,6,5,1
97,40005008,8,7,3
98,40005009,8,6,1
99,40005010,12,8,1
100,40005011,16,12,4
101,40005012,17,16,4
102,40005013,24,21,4
103,40005014,13,10,2
104,40005015,20,18,7
105,40005016,18,19,3
106,40005017,15,11,4
107,40005018,24,25,3
108,40005019,32,32,8
109,40005020,21,18,4
110,40005021,14,9,1
111,40005022,33,31,2
112,40005023,17,13,3
113,40005024,19,19,2
114,40005025,27,25,4
115,40005026,11,8,2
116,40005027,5,4,1
117,40005028,17,17,2
118,40005029,29,31,4
119,40005030,29,28,4
120,40005031,9,9,0
121,40005032,20,20,2
122,40005033,14,11,3
123,40005034,15,13,1
124,40005035,16,13,1
125,40005036,14,10,3
126,40005037,16,12,1
127,40005038,10,8,3
128,40005039,21,22,2
129,40005040,13,12,2
130,40005041,10,7,1
131,40005042,12,11,1
132,40005043,10,8,1
133,40005044,13,11,3
134,40005045,22,22,4
135,40005046,15,14,3
136,40005047,15,13,2
137,40005048,11,11,4
138,40006001,22,28,2
139,40006002,29,28,1
140,40006003,12,11,2
141,40006004,14,14,3
142,40006005,30,28,4
143,40006006,25,28,6
144,40006007,14,15,4
145,40006008,15,14,2
146,40006009,12,11,6
147,40006010,12,13,5
148,40006011,6,5,0
149,40006012,11,8,0
150,40006013,12,6,1
151,40006014,13,13,2
152,40006015,11,11,1
153,40006016,23,24,3
154,40006017,10,8,1
155,40006018,18,22,3
156,40006019,18,13,6
157,40006020,19,15,5
158,40006021,10,9,0
159,40006022,18,14,3
160,40006023,23,22,6
161,40006024,27,25,9
162,40006025,30,26,2
163,40006026,26,25,5
164,40006027,12,10,1
165,40006028,16,14,5
166,40006029,14,13,4
167,40006030,21,18,1
168,40006031,12,7,2
169,40006032,15,11,0
170,40006033,14,13,5
171,40006034,17,14,4
172,40007001,5,3,0
173,40007002,13,11,1
174,40007003,17,16,1
175,40007004,19,21,3
176,40007005,18,20,3
177,40007006,22,25,2
178,40007007,11,9,2
179,40007008,12,9,1
180,40007009,14,14,6
181,40007010,7,6,0
182,40007011,23,24,7
183,40007012,20,17,3
184,40007013,24,23,6
185,40007014,18,19,9
186,40007015,16,13,2
187,40007016,13,11,3
188,40007017,14,10,4
189,40007018,13,8,1
190,40007019,11,7,3
191,40007020,6,7,0
192,40007021,22,21,7
193,40007022,23,19,4
194,40007023,13,13,3
195,40007024,20,18,3
196,40007025,24,24,2
197,40007026,20,19,3
198,40007027,23,25,3
199,40007028,13,11,1
200,40007029,12,11,0
201,40008001,10,9,1
202,40008002,13,9,1
203,40008003,14,11,3
204,40008004,23,22,5
205,40008005,10,7,0
206,40008006,12,10,3
207,40008007,7,5,1
208,40008008,22,20,2
209,40008009,29,25,6
210,40008010,17,17,0
211,40008011,23,22,6
212,40008012,19,17,1
213,40008013,17,19,3
214,40008014,13,12,3
215,40008015,14,12,5
216,40008016,16,15,2
217,40008017,16,13,0
218,40008018,11,9,0
219,40008019,11,8,2
220,40008020,24,23,5
221,40008021,15,12,2
222,40008022,13,13,2
223,40008023,10,10,1
224,40008024,18,16,4
225,40008025,8,7,1
226,40008026,19,14,0
227,40008027,17,13,2
228,40008028,29,28,5
229,40008029,16,14,4
230,40008030,9,4,0
231,40008031,16,12,1
232,40008032,28,24,5
233,40008033,14,14,5
234,40008034,18,19,5
235,40009001,10,10,2
236,40009002,21,19,3
237,40009003,10,6,1
238,40009004,12,11,1
239,40009005,14,8,1
240,40009006,27,26,4
241,40009007,6,5,1
242,40009008,12,12,1
243,40009009,21,18,4
244,40009010,19,19,5
245,40009011,16,14,1
246,40009012,12,10,0
247,40009013,17,13,5
248,40009014,19,17,6
249,40009015,28,27,6
250,40009016,20,18,1
251,40009017,31,26,2
252,40009018,25,20,3
253,40009019,8,9,1
254,40009020,13,11,2
255,40009021,10,9,0
256,40009022,20,17,2
257,40009023,16,14,3
258,40009024,12,9,2
259,40009025,13,11,1
260,40009026,9,8,0
261,40009027,15,13,3
262,40009028,22,17,3
263,40009029,10,8,1
264,40009030,12,11,2
265,40009031,9,8,1
266,40009032,9,6,0
267,40009033,17,17,3
268,40009034,12,10,2
269,40009035,26,28,8
270,40009036,17,12,1
271,40009037,12,9,1
272,40009038,12,10,2
273,40010001,20,17,4
274,40010002,22,26,7
275,40010003,12,12,8
276,40010004,9,10,4
277,40010005,18,20,2
278,40010006,9,7,2
279,40010007,9,7,0
280,40010008,12,9,3
281,40010009,10,5,1
282,40010010,17,14,3
283,40010011,17,12,2
284,40010012,7,5,1
285,40010013,22,17,4
286,40010014,20,22,8
287,40010015,15,14,2
288,40010016,20,14,4
289,40010017,15,15,6
290,40010018,14,11,2
291,40010019,18,16,7
292,40010020,14,13,4
293,40010021,17,14,5
294,40010022,15,11,2
295,40010023,25,28,5
296,40010024,11,12,0
297,40010025,24,22,5
298,40010026,16,12,3
299,40010027,20,15,2
300,40010028,25,21,3
301,40010029,17,14,1
302,40010030,10,7,0
303,40010031,7,6,1
304,40010032,18,16,1
305,40010033,16,14,2
306,40010034,15,14,5
307,40010035,17,16,2
308,40010036,6,7,1
309,40010037,23,18,6
310,40010038,14,9,3
311,40010039,15,12,1
312,40010040,13,12,4
313,40010041,19,16,1
314,40010042,19,16,0
315,40011001,17,14,3
316,40011002,14,12,1
317,40011003,9,7,2
318,40011004,12,10,2
319,40011005,15,15,5
320,40011006,8,6,4
321,40011007,20,15,2
322,40011008,18,16,3
323,40011009,11,7,2
324,40011010,19,15,1
325,40011011,23,17,5
326,40011012,18,16,2
327,40011013,10,9,3
328,40011014,9,8,3
329,40011015,4,2,0
330,40011016,13,15,3
331,40011017,10,8,3
332,40011018,11,9,2
333,40011019,23,26,4
334,40011020,14,13,2
335,40011021,24,24,8
336,40011022,13,10,2
337,40011023,22,23,2
338,40011024,12,10,1
339,40011025,26,21,1
340,40011026,8,7,1
341,40011027,29,30,5
342,40011028,10,8,1
343,40011029,20,22,6
344,40011030,9,9,2
345,40012001,20,17,0
346,40012002,16,13,2
347,40012003,15,14,6
348,40012004,25,23,2
349,40012005,20,17,3
350,40012006,9,7,2
351,40012007,14,12,4
352,40012008,8,7,1
353,40012009,7,7,1
354,40012010,17,14,0
355,40012011,26,24,5
356,40012012,11,10,3
357,40012013,15,15,7
358,40012014,11,6,0
359,40012015,14,12,3
360,40012016,8,7,1
361,40012017,8,8,1
362,40012018,22,21,3
363,40012019,12,11,2
364,40012020,14,13,2
365,40012021,5,5,1
366,40012022,16,14,6
367,40012023,12,13,3
368,40012024,15,14,1
369,40012025,21,21,2
370,40012026,15,10,1
371,40012027,19,15,3
372,40012028,16,12,1
373,40012029,25,26,3
374,40012030,15,11,0
375,40012031,17,16,3
376,40012032,28,25,4
377,40012033,25,25,5
378,40012034,17,14,3
379,40012035,19,16,2
380,40012036,17,15,1
381,40012037,10,7,1
382,40012038,14,11,0
383,40012039,21,15,4
384,40012040,29,27,5
385,40012041,23,19,7
386,40012042,28,22,6
387,40012043,18,17,7
388,40012044,15,11,2
389,40012045,30,30,6
390,40012046,15,15,1
391,40012047,15,10,0
392,40012048,14,11,2
393,40012049,14,16,2
394,40012050,18,17,4
395,40013001,11,10,1
396,40013002,20,16,6
397,40013003,12,11,1
398,40013004,16,14,3
399,40013005,19,16,2
400,40013006,10,5,0
401,40013007,13,9,1
402,40013008,19,17,2
403,40013009,4,2,0
404,40013010,11,8,0
405,40013011,18,16,4
406,40013012,17,10,1
407,40013013,16,10,1
408,40013014,18,18,2
409,40013015,32,32,3
410,40013016,11,10,1
411,40013017,23,20,2
412,40013018,7,7,2
413,40013019,25,21,1
414,40013020,17,16,3
415,40013021,19,16,2
416,40013022,27,24,5
417,40013023,28,29,2
418,40013024,17,15,2
419,40013025,16,17,3
420,40013026,13,11,1
421,40013027,20,17,2
422,40013028,18,15,1
423,40013029,13,9,3
424,40013030,33,32,5
425,40013031,20,16,1
426,40013032,28,28,6
427,40013033,22,17,1
428,40013034,14,12,2
429,40013035,17,13,0
430,40013036,22,17,1
431,40013037,13,13,3
432,40013038,24,20,4
433,40013039,19,17,2
434,40013040,15,12,5
435,40013041,19,21,6
436,40013042,17,16,5
437,40013043,16,14,3
438,40013044,29,29,4
439,40013045,12,10,0
440,40013046,12,10,3
441,40013047,17,13,2
442,40013048,19,16,5
443,40013049,18,16,5
444,40013050,17,14,5
445,40013051,6,6,2
446,40013052,25,24,5
447,40013053,9,9,2
448,40013054,22,22,5
449,40013055,21,22,8
450,40013056,13,10,4
451,40013057,20,22,5
452,40013058,9,9,3
453,40014001,10,6,0
454,40014002,22,20,7
455,40014003,16,18,3
456,40014004,9,8,0
457,40014005,12,8,2
458,40014006,14,16,4
459,40014007,8,5,0
460,40014008,17,14,2
461,40014009,12,11,1
462,40014010,7,5,2
463,40014011,14,14,2
464,40014012,14,14,6
465,40014013,21,22,2
466,40014014,13,10,3
467,40014015,27,22,4
468,40014016,11,8,0
469,40014017,13,13,4
470,40014018,7,5,0
471,40014019,33,30,5
472,40014020,13,11,4
473,40014021,11,8,3
474,40014022,18,17,2
475,40014023,16,13,3
476,40014024,15,16,4
477,40014025,12,11,0
478,40014026,18,15,2
479,40014027,11,8,1
480,40014028,17,13,1
481,40014029,17,18,2
482,40014030,14,10,2
483,40014031,15,13,2
484,40014032,9,9,2
485,40014033,12,12,3
486,40014034,8,7,3
487,40014035,17,18,2
488,40014036,14,13,2
489,40015001,9,8,3
490,40015002,16,16,1
491,40015003,15,15,1
492,40015004,15,15,4
493,40015005,13,8,0
494,40015006,12,14,1
495,40015007,7,5,0
496,40015008,13,13,1
497,40015009,8,6,1
498,40015010,9,8,4
499,40015011,19,15,5
500,40015012,13,10,4
501,40015013,13,10,1
502,40015014,15,11,0
503,40015015,9,9,0
504,40015016,8,7,0
505,40015017,16,12,1
506,40015018,14,12,2
507,40015019,13,9,2
508,40015020,14,14,6
509,40015021,11,9,2
510,40015022,19,16,2
511,40015023,19,17,4
512,40015024,13,9,0
513,40015025,8,7,1
514,40015026,15,15,3
515,40015027,17,18,3
516,40015028,21,19,3
517,40015029,16,15,0
518,40015030,25,22,6
519,40015031,19,18,4
520,40015032,32,31,7
521,40015033,14,11,2
522,40015034,14,11,2
523,40015035,8,7,3
524,40015036,17,16,4
525,40015037,13,11,3
526,40015038,10,8,3
527,40015039,14,12,2
528,40016001,15,14,1
529,40016002,13,9,1
530,40016003,22,21,1
531,40016004,19,13,4
532,40016005,9,10,1
533,40016006,14,10,1
534,40016007,10,7,2
535,40016008,13,9,2
536,40016009,13,12,5
537,40016010,10,9,5
538,40016011,17,12,2
539,40016012,19,14,2
540,40016013,19,18,4
541,40016014,17,17,4
542,40016015,8,5,0
543,40016016,14,12,1
544,40016017,23,20,5
545,40016018,21,21,7
546,40016019,30,25,1
547,40016020,11,7,0
548,40016021,30,26,3
549,40016022,15,14,1
550,40016023,20,20,5
551,40016024,20,16,5
552,40016025,17,14,1
553,40016026,20,18,1
554,40016027,21,20,5
555,40016028,21,21,1
556,40017001,20,22,5
557,40017002,19,19,6
558,40017003,10,7,2
559,40017004,25,23,3
560,40017005,26,22,4
561,40017006,11,9,1
562,40017007,10,12,3
563,40017008,9,9,2
564,40017009,21,21,4
565,40017010,15,13,1
566,40017011,10,7,1
567,40017012,25,20,3
568,40017013,11,9,4
569,40017014,10,8,1
570,40017015,22,21,8
571,40017016,10,9,2
572,40017017,22,18,5
573,40017018,17,17,1
574,40017019,13,12,3
575,40017020,29,25,5
576,40017022,16,15,2
577,40017023,11,11,2
578,40017024,19,18,2
579,40017025,32,29,6
580,40017026,12,11,0
581,40017027,29,25,3
582,40018001,17,17,4
583,40018002,8,7,2
584,40018003,20,20,3
585,40018004,16,12,3
586,40018005,11,12,4
587,40018006,25,22,2
588,40018007,20,16,2
589,40018008,38,32,6
590,40018009,30,26,8
591,40018010,23,23,0
592,40018012,25,24,2
593,40018013,20,18,1
594,40018014,15,12,2
595,40018015,21,17,1
596,40018016,21,17,2
597,40018017,21,18,3
598,40018018,22,18,1
599,40018019,24,22,2
600,40018020,15,12,4
601,40018021,17,16,3
602,40018022,12,12,7
603,40018023,16,13,1
604,40018024,10,8,0
605,40018025,20,22,5
606,40018026,14,13,4
607,40018027,13,14,0
608,40018028,22,19,1
609,40018029,13,11,3
610,40018030,14,12,2
611,40018031,16,14,2
612,40018032,17,17,3
613,40018033,11,9,0
614,40018034,12,15,1
615,40018035,16,18,2
616,40019001,19,19,3
617,40019002,9,8,2
618,40019003,16,16,4
619,40019004,16,12,3
620,40019005,20,21,6
621,40019006,14,12,4
622,40019007,12,10,1
623,40019008,17,16,3
624,40019009,15,13,2
625,40019010,17,15,0
626,40019011,12,10,2
627,40019012,31,22,4
628,40019013,15,16,2
629,40019014,20,15,1
630,40019015,6,5,2
631,40019016,14,10,2
632,40019017,21,21,3
633,40019018,14,11,1
634,40019019,10,10,3
635,40019020,10,10,1
636,40019021,23,22,3
637,40019022,12,9,2
638,40019023,17,17,2
639,40019024,18,15,3
640,40019025,10,7,0
641,40019026,15,12,1
642,40019027,16,13,4
643,40019028,34,35,7
644,40019029,26,25,4
645,40019030,8,5,3
646,40020001,18,16,1
647,40020002,13,10,0
648,40020003,12,11,3
649,40020004,15,11,0
650,40020005,11,12,3
651,40020006,18,14,5
652,40020007,14,10,0
653,40020008,25,21,6
654,40020009,10,9,1
655,40020010,14,13,1
656,40020011,6,6,1
657,40020012,20,20,5
658,40020013,14,13,0
659,40020014,14,13,4
660,40020015,16,14,1
661,40020016,9,8,3
662,40020017,16,14,2
663,40020018,17,16,4
664,40020019,16,15,0
665,40020020,17,14,2
666,40020021,26,26,6
667,40020022,19,11,0
668,40020023,24,23,0
669,40020024,9,7,3
670,40020025,18,18,1
671,40020026,15,9,3
672,40020027,10,8,2
673,40020028,16,17,3
674,40020029,9,7,2
675,40020030,19,15,1
676,40020031,17,14,5
677,40020032,11,8,2
678,40020033,7,5,0
679,40020034,12,14,3
680,40021001,19,14,2
681,40021002,20,18,4
682,40021003,17,14,1
683,40021004,10,7,1
684,40021005,18,16,2
685,40021006,10,10,1
686,40021007,15,15,6
687,40021008,22,22,9
688,40021009,22,25,3
689,40021010,13,10,2
690,40021011,13,9,1
691,40021012,29,27,3
692,40021013,15,9,2
693,40021014,12,12,5
694,40021015,25,23,3
695,40021016,22,17,2
696,40021017,12,10,3
697,40021018,7,5,0
698,40021019,34,34,5
699,40021020,11,9,1
700,40021021,32,27,1
701,40021022,9,8,2
702,40021023,28,23,2
703,40021024,22,14,2
704,40021025,27,21,3
705,40021026,14,11,3
706,40021027,19,16,1
707,40021028,19,18,3
708,40021029,10,7,1
709,40021030,15,13,5
710,40021031,30,27,6
711,40021032,28,26,2
712,40021033,27,24,5
713,40021034,17,14,2
714,40021035,14,11,0
715,40021036,11,9,1
716,40021037,11,10,1
717,40021038,20,18,4
718,40021039,9,7,2
719,40021040,11,10,2
720,40021041,20,18,1
721,40021042,27,23,5
722,40021043,17,17,3
723,40021044,13,12,1
724,40021045,14,11,0
725,40021046,12,10,2
726,40022001,9,8,1
727,40022002,12,11,1
728,40022003,14,13,3
729,40022004,25,24,4
730,40022005,13,14,1
731,40022006,9,8,0
732,40022007,15,18,1
733,40022008,16,13,5
734,40022009,12,12,1
735,40022010,20,18,1
736,40022011,14,13,3
737,40022012,14,11,1
738,40022013,26,24,2
739,40022014,7,6,1
740,40022015,11,8,3
741,40022016,33,30,5
742,40022017,12,11,4
743,40022018,10,8,0
744,40022019,9,10,1
745,40022020,9,9,1
746,40022021,15,13,2
747,40022022,7,4,2
748,40022023,13,12,1
749,40022024,20,22,5
750,40022025,20,21,2
751,40022026,10,9,1
752,40022027,6,5,1
753,40022028,13,11,5
754,40022029,14,11,2
755,40022030,14,10,1
756,40022031,14,12,2
757,40022032,19,13,2
758,40022033,8,6,1
759,40022034,11,8,1
760,40022035,8,7,1
761,40022036,7,5,2
762,40022037,22,21,0
763,40022038,6,7,2
764,40022039,9,9,2
765,40022040,12,10,3
766,40022041,7,7,0
767,40022042,13,13,4
768,40022043,11,8,3
769,40022044,14,16,0
770,40022045,10,7,3
771,40022046,15,12,1
772,40023001,8,8,0
773,40023002,11,7,1
774,40023003,18,18,3
775,40023004,20,19,3
776,40023005,16,19,1
777,40023006,13,13,1
778,40023007,11,11,5
779,40023008,15,11,1
780,40023009,15,12,5
781,40023010,10,8,1
782,40023011,7,5,0
783,40023012,10,8,1
784,40023013,23,22,4
785,40023015,25,20,3
786,40023016,21,18,3
787,40023017,15,14,5
788,40023018,18,16,1
789,40023019,12,10,3
790,40023020,14,12,2
791,40023021,14,11,0
792,40023022,17,13,5
793,40023023,36,34,5
794,40023024,9,7,1
795,40023025,22,20,8
796,40023026,15,15,6
797,40023027,23,16,4
798,40023028,15,13,4
799,40023029,18,17,4
800,40023030,19,17,5
801,40023031,10,7,1
802,40023032,7,8,1
803,40023033,10,7,4
804,40023034,30,29,9
805,40023035,31,27,6
806,40023036,9,8,1
807,40023037,27,30,3
808,40023038,6,4,0
809,40023039,15,14,1
810,40024001,17,18,2
811,40024002,19,17,3
812,40024003,29,23,3
813,40024004,10,10,2
814,40024005,14,11,1
815,40024006,18,15,2
816,40024007,16,11,2
817,40024008,5,5,2
818,40024009,18,16,5
819,40024010,10,8,2
820,40024011,7,6,2
821,40024012,11,9,1
822,40024013,7,4,0
823,40024014,20,19,2
824,40024015,18,15,3
825,40024016,8,6,1
826,40024017,11,10,1
827,40024018,11,9,2
828,40024019,11,9,2
829,40024020,10,8,0
830,40024021,16,16,3
831,40024022,17,17,3
832,40024023,13,7,0
833,40024024,18,17,6
834,40024025,3,3,0
835,40024026,17,17,5
836,40024027,18,16,0
837,40024028,8,7,3
838,40024029,30,30,5
839,40024030,34,31,4
840,40024031,21,20,3
841,40024032,21,20,3
842,40024033,13,10,4
843,40024034,11,11,0
844,40024035,11,10,0
845,40024036,16,19,0
846,40024037,12,11,0
847,40024038,22,23,6
848,40024039,18,16,3
849,40024040,11,8,4
850,40024041,10,7,2
851,40024042,10,10,2
852,40024043,20,16,1
853,40024044,15,13,3
854,40024045,20,16,2
855,40024046,10,8,0
856,40024047,10,8,1
857,40024048,12,12,1
858,40024049,12,10,5
859,40024050,16,17,3
860,40024051,19,17,3
861,40025001,17,17,2
862,40025002,9,8,1
863,40025003,10,9,2
864,40025004,10,11,5
865,40025005,8,5,0
866,40025006,12,10,0
867,40025007,9,9,5
868,40025008,15,13,3
869,40025009,19,17,4
870,40025010,20,18,4
871,40025011,12,8,0
872,40025012,10,7,0
873,40025013,10,9,4
874,40025014,12,12,0
875,40025015,17,15,1
876,40025016,13,12,3
877,40025017,7,4,0
878,40025018,13,13,0
879,40025019,13,12,1
880,40025020,22,17,0
881,40025021,23,19,3
882,40025022,18,13,0
883,40025023,23,22,5
884,40025024,25,20,3
885,40025025,12,12,2
886,40025026,21,20,4
887,40025027,15,17,0
888,40025028,13,13,5
889,40025029,15,13,1
890,40025030,18,15,3
891,40025031,21,22,4
892,40025032,21,19,4
893,40025033,13,12,2
894,40025034,20,19,1
895,40025035,15,10,2
896,40025036,15,13,6
897,40025037,17,13,2
898,40025038,11,10,2
899,40025039,12,9,2
900,40025040,19,15,0
901,40025041,22,21,2
902,40025042,12,9,4
903,40025043,19,18,8
904,40025044,25,21,8
905,40025045,17,16,3
906,40025046,12,10,2
907,40026001,11,10,2
908,40026002,15,14,1
909,40026003,16,16,1
910,40026004,8,7,2
911,40026005,13,11,5
912,40026006,10,9,2
913,40026007,13,12,1
914,40026008,9,8,1
915,40026009,8,4,0
916,40026010,16,14,0
917,40026011,12,10,4
918,40026012,12,14,0
919,40026013,19,16,1
920,40026014,11,12,3
921,40026015,15,12,2
922,40026016,8,6,2
923,40026017,17,15,2
924,40026018,27,27,6
925,40026019,12,12,3
926,40026020,7,3,0
927,40026021,13,11,2
928,40026022,10,9,3
929,40026023,16,12,1
930,40026024,27,26,4
931,40026025,14,13,1
932,40026026,20,18,3
933,40026027,12,9,2
934,40026028,14,9,0
935,40026029,25,25,7
936,40026030,8,7,3
937,40026031,22,20,4
938,40026032,8,6,0
939,40026033,13,10,0
940,40026034,14,13,0
941,40026035,18,16,2
942,40026036,19,18,1
943,40026037,12,11,2
944,40026038,15,11,3
945,40026039,28,25,4
946,40026040,20,19,9
947,40026041,16,12,4
948,40026042,17,17,1
949,40026043,11,10,2
950,40026044,11,9,1
951,40026045,23,22,4
952,40026046,6,6,0
953,40026047,26,22,4
954,40026048,14,11,0
955,40026049,10,10,3
956,40026050,17,20,3
957,40026051,21,20,4
958,40026052,17,18,3
959,40026053,15,15,3
960,40026054,9,7,2
961,40026055,27,26,4
962,40026056,17,13,1
963,40026057,16,14,1
964,40026058,20,20,2
965,40026059,14,13,1
966,40026060,10,6,2
967,40026061,13,11,1
968,40026062,12,9,1
969,40026063,25,22,3
970,40026064,25,23,2
971,40026065,17,16,3
972,40026066,9,8,1
973,40026067,11,11,1
974,40026068,9,5,1
975,40026069,19,19,3
976,40026070,10,9,2
977,40026071,17,17,3
978,40026072,9,8,4
979,40026073,21,22,5
980,40026074,13,13,4
981,40026075,17,15,2
982,40027001,18,15,1
983,40027002,9,8,2
984,40027003,17,15,0
985,40027004,13,10,1
986,40027005,11,9,3
987,40027006,18,17,1
988,40027007,13,12,1
989,40027008,9,7,0
990,40027009,23,19,2
991,40027010,12,11,1
992,40027011,23,20,3
993,40027012,11,11,1
994,40027013,9,8,1
995,40027014,13,10,2
996,40027015,13,9,1
997,40027016,7,5,1
998,40027017,15,12,4
999,40027018,7,5,0
1000,40027019,25,21,0
1001,40027020,15,14,2
1002,40027021,17,14,1
1003,40027022,12,8,1
1004,40027023,13,10,1
1005,40027024,27,22,3
1006,40027025,14,14,4
1007,40027026,10,9,1
1008,40027027,16,11,2
1009,40027028,7,6,1
1010,40027029,25,22,6
1011,40027030,12,13,3
1012,40027031,18,18,5
1013,40027032,13,10,0
1014,40027033,11,6,1
1015,40027034,12,8,2
1016,40027035,8,6,0
1017,40027036,5,3,1
1018,40027037,15,11,2
1019,40027038,13,9,1
