verse num,verse id,num_manual_mappings,num_suggested_mappings,num_correct_mappings
0,40001001,8,8,3
1,40001002,14,16,10
2,40001003,16,19,11
3,40001004,12,14,8
4,40001005,16,18,9
5,40001006,13,16,8
6,40001007,12,14,8
7,40001008,12,14,8
8,40001009,12,14,8
9,40001010,12,14,8
10,40001011,11,13,7
11,40001012,12,14,10
12,40001013,12,14,8
13,40001014,12,14,8
14,40001015,12,14,8
15,40001016,13,15,9
16,40001017,29,29,20
17,40001018,21,25,8
18,40001019,15,16,5
19,40001020,30,31,15
20,40001021,16,19,7
21,40001022,13,10,4
22,40001023,18,22,13
23,40001024,17,19,10
24,40001025,12,13,6
25,40002001,18,20,12
26,40002002,19,20,10
27,40002003,11,11,9
28,40002004,16,16,11
29,40002005,13,14,7
30,40002006,22,20,8
31,40002007,14,14,11
32,40002008,22,20,5
33,40002009,25,23,14
34,40002010,8,7,3
35,40002011,28,30,18
36,40002012,15,15,8
37,40002013,36,38,13
38,40002014,14,13,7
39,40002015,21,22,12
40,40002016,35,36,22
41,40002017,9,8,5
42,40002018,19,19,8
43,40002019,12,14,5
44,40002020,21,22,12
45,40002021,14,15,4
46,40002022,22,22,8
47,40002023,16,15,5
48,40003001,13,15,10
49,40003002,9,9,7
50,40003003,23,24,15
51,40003004,23,27,10
52,40003005,14,15,11
53,40003006,10,11,7
54,40003007,23,24,11
55,40003008,6,6,5
56,40003009,21,25,10
57,40003010,22,22,14
58,40003011,31,31,15
59,40003012,22,26,12
60,40003013,13,16,11
61,40003014,15,17,9
62,40003015,19,19,10
63,40003016,26,27,11
64,40003017,15,17,12
65,40004001,13,14,11
66,40004002,9,9,6
67,40004003,16,17,8
68,40004004,19,19,10
69,40004005,17,17,12
70,40004006,29,29,11
71,40004007,10,12,7
72,40004008,21,21,13
73,40004009,11,10,3
74,40004010,16,18,9
75,40004011,12,12,7
76,40004012,8,7,2
77,40004013,14,13,6
78,40004014,8,6,1
79,40004015,13,12,7
80,40004016,19,20,10
81,40004017,14,15,8
82,40004018,24,27,16
83,40004019,11,10,5
84,40004020,8,8,4
85,40004021,26,31,19
86,40004022,11,12,6
87,40004023,24,25,17
88,40004024,27,29,18
89,40004025,17,18,17
90,40005001,15,16,8
91,40005002,7,8,4
92,40005003,11,12,9
93,40005004,6,6,5
94,40005005,8,8,7
95,40005006,9,10,5
96,40005007,6,6,4
97,40005008,8,10,6
98,40005009,8,7,5
99,40005010,12,12,6
100,40005011,16,16,10
101,40005012,17,19,10
102,40005013,24,22,7
103,40005014,13,12,6
104,40005015,20,20,10
105,40005016,18,22,13
106,40005017,15,13,8
107,40005018,24,26,16
108,40005019,32,36,15
109,40005020,21,21,10
110,40005021,14,14,5
111,40005022,33,37,11
112,40005023,17,10,3
113,40005024,19,20,11
114,40005025,27,28,9
115,40005026,11,11,5
116,40005027,5,4,1
117,40005028,17,18,6
118,40005029,29,33,15
119,40005030,29,32,17
120,40005031,9,11,1
121,40005032,20,19,3
122,40005033,14,13,4
123,40005034,15,15,6
124,40005035,16,16,7
125,40005036,14,15,10
126,40005037,16,16,9
127,40005038,10,10,6
128,40005039,21,22,15
129,40005040,13,13,4
130,40005041,10,10,9
131,40005042,12,12,3
132,40005043,10,10,6
133,40005044,13,12,5
134,40005045,22,22,15
135,40005046,15,16,5
136,40005047,15,15,6
137,40005048,11,12,9
138,40006001,22,26,10
139,40006002,29,31,18
140,40006003,12,11,3
141,40006004,14,15,6
142,40006005,30,32,16
143,40006006,25,31,13
144,40006007,14,13,5
145,40006008,15,15,6
146,40006009,12,14,10
147,40006010,12,12,6
148,40006011,6,6,0
149,40006012,11,13,10
150,40006013,12,10,7
151,40006014,13,16,9
152,40006015,11,10,3
153,40006016,23,25,10
154,40006017,10,12,8
155,40006018,18,20,7
156,40006019,18,18,13
157,40006020,19,19,13
158,40006021,10,12,8
159,40006022,18,18,10
160,40006023,23,22,11
161,40006024,27,26,16
162,40006025,30,32,14
163,40006026,26,26,16
164,40006027,12,13,4
165,40006028,16,15,10
166,40006029,14,15,7
167,40006030,21,20,9
168,40006031,12,12,6
169,40006032,15,15,9
170,40006033,14,16,8
171,40006034,17,15,7
172,40007001,5,3,0
173,40007002,13,10,4
174,40007003,17,21,11
175,40007004,19,21,5
176,40007005,18,21,8
177,40007006,22,23,11
178,40007007,11,11,5
179,40007008,12,12,3
180,40007009,14,15,7
181,40007010,7,7,0
182,40007011,23,25,11
183,40007012,20,21,11
184,40007013,24,25,15
185,40007014,18,19,14
186,40007015,16,16,12
187,40007016,13,14,10
188,40007017,14,14,10
189,40007018,13,12,4
190,40007019,11,11,9
191,40007020,6,6,2
192,40007021,22,24,9
193,40007022,23,23,7
194,40007023,13,15,9
195,40007024,20,21,9
196,40007025,24,24,15
197,40007026,20,22,11
198,40007027,23,24,13
199,40007028,13,16,9
200,40007029,12,13,10
201,40008001,10,10,6
202,40008002,13,11,3
203,40008003,14,14,9
204,40008004,23,23,13
205,40008005,10,9,3
206,40008006,12,11,8
207,40008007,7,6,2
208,40008008,22,20,13
209,40008009,29,30,16
210,40008010,17,20,9
211,40008011,23,22,17
212,40008012,19,20,12
213,40008013,17,20,9
214,40008014,13,15,8
215,40008015,14,14,4
216,40008016,16,16,7
217,40008017,16,17,9
218,40008018,11,11,5
219,40008019,11,10,4
220,40008020,24,24,14
221,40008021,15,16,6
222,40008022,13,15,7
223,40008023,10,11,6
224,40008024,18,17,11
225,40008025,8,6,0
226,40008026,19,18,10
227,40008027,17,17,14
228,40008028,29,29,17
229,40008029,16,15,7
230,40008030,9,8,4
231,40008031,16,15,9
232,40008032,28,25,12
233,40008033,14,15,5
234,40008034,18,19,11
235,40009001,10,11,6
236,40009002,21,23,9
237,40009003,10,9,6
238,40009004,12,14,8
239,40009005,14,14,9
240,40009006,27,28,12
241,40009007,6,7,1
242,40009008,12,15,5
243,40009009,21,22,12
244,40009010,19,20,6
245,40009011,16,19,10
246,40009012,12,13,2
247,40009013,17,15,9
248,40009014,19,20,12
249,40009015,28,31,15
250,40009016,20,20,6
251,40009017,31,32,22
252,40009018,25,24,7
253,40009019,8,10,4
254,40009020,13,14,7
255,40009021,10,10,4
256,40009022,20,23,11
257,40009023,16,17,11
258,40009024,12,11,7
259,40009025,13,13,7
260,40009026,9,10,8
261,40009027,15,16,9
262,40009028,22,23,12
263,40009029,10,12,4
264,40009030,12,14,7
265,40009031,9,10,2
266,40009032,9,8,3
267,40009033,17,18,14
268,40009034,12,12,9
269,40009035,26,27,16
270,40009036,17,16,7
271,40009037,12,13,7
272,40009038,12,13,7
273,40010001,20,19,9
274,40010002,22,28,14
275,40010003,12,13,9
276,40010004,9,11,8
277,40010005,18,20,9
278,40010006,9,10,6
279,40010007,9,8,3
280,40010008,12,9,3
281,40010009,10,10,7
282,40010010,17,17,14
