verse num,verse id,num_manual_mappings,num_suggested_mappings,num_correct_mappings
0,40001001,8,8,2
1,40001002,14,11,1
2,40001003,16,12,3
3,40001004,12,9,4
4,40001005,16,14,5
5,40001006,13,13,1
6,40001007,12,12,4
7,40001008,12,12,6
8,40001009,12,12,6
9,40001010,12,11,4
10,40001011,11,11,1
11,40001012,12,10,0
12,40001013,12,12,4
13,40001014,12,12,6
14,40001015,12,10,4
15,40001016,13,11,2
16,40001017,29,24,8
17,40001018,21,19,0
18,40001019,15,14,1
19,40001020,30,23,0
20,40001021,16,14,2
21,40001022,13,10,0
22,40001023,18,16,1
23,40001024,17,14,2
24,40001025,12,12,3
25,40002001,18,16,2
26,40002002,19,14,2
27,40002003,11,9,0
28,40002004,16,10,1
29,40002005,13,10,0
30,40002006,22,20,2
31,40002007,14,10,5
32,40002008,22,16,2
33,40002009,25,19,1
34,40002010,8,4,0
35,40002011,28,23,9
36,40002012,15,14,3
37,40002013,36,30,3
38,40002014,14,10,1
39,40002015,21,15,1
40,40002016,35,30,3
41,40002017,9,7,0
42,40002018,19,17,4
43,40002019,12,11,0
44,40002020,21,18,6
45,40002021,14,12,0
46,40002022,22,17,1
47,40002023,16,13,1
48,40003001,13,11,2
49,40003002,9,7,4
50,40003003,23,18,3
51,40003004,23,20,2
52,40003005,14,10,2
53,40003006,10,6,1
54,40003007,23,18,3
55,40003008,6,4,2
56,40003009,21,18,3
57,40003010,22,13,0
58,40003011,31,18,2
59,40003012,22,18,3
60,40003013,13,13,4
61,40003014,15,13,1
62,40003015,19,16,0
63,40003016,26,23,2
64,40003017,15,11,1
65,40004001,13,9,0
66,40004002,9,8,4
67,40004003,16,12,0
68,40004004,19,15,2
69,40004005,17,13,1
70,40004006,29,25,3
71,40004007,10,9,1
72,40004008,21,19,3
73,40004009,11,8,0
74,40004010,16,13,2
75,40004011,12,10,1
76,40004012,8,6,0
77,40004013,14,13,3
78,40004014,8,5,0
79,40004015,13,8,1
80,40004016,19,17,6
81,40004017,14,10,0
82,40004018,24,18,1
83,40004019,11,9,2
84,40004020,8,6,0
85,40004021,26,21,3
86,40004022,11,9,0
87,40004023,24,19,4
88,40004024,27,22,7
89,40004025,17,13,7
90,40005001,15,9,0
91,40005002,7,6,1
92,40005003,11,7,1
93,40005004,6,4,0
94,40005005,8,6,1
95,40005006,9,8,2
96,40005007,6,5,0
97,40005008,8,7,0
98,40005009,8,6,0
99,40005010,12,9,0
100,40005011,16,14,1
101,40005012,17,18,2
102,40005013,24,20,2
103,40005014,13,10,1
104,40005015,20,17,5
105,40005016,18,18,2
106,40005017,15,11,2
107,40005018,24,21,3
108,40005019,32,26,3
109,40005020,21,15,2
110,40005021,14,11,2
111,40005022,33,23,2
112,40005023,17,14,0
113,40005024,19,16,2
114,40005025,27,22,3
115,40005026,11,9,2
116,40005027,5,4,1
117,40005028,17,15,2
118,40005029,29,24,4
119,40005030,29,26,4
120,40005031,9,8,0
121,40005032,20,17,1
122,40005033,14,13,3
123,40005034,15,11,0
124,40005035,16,13,0
125,40005036,14,13,1
126,40005037,16,14,2
127,40005038,10,7,0
128,40005039,21,18,4
129,40005040,13,8,1
130,40005041,10,8,2
131,40005042,12,8,1
132,40005043,10,8,1
133,40005044,13,11,3
134,40005045,22,18,3
135,40005046,15,14,1
136,40005047,15,14,1
137,40005048,11,10,1
138,40006001,22,20,1
139,40006002,29,24,5
140,40006003,12,8,0
141,40006004,14,10,2
142,40006005,30,23,1
143,40006006,25,22,4
144,40006007,14,11,1
145,40006008,15,14,0
146,40006009,12,9,1
147,40006010,12,10,3
148,40006011,6,5,0
149,40006012,11,9,1
150,40006013,12,10,3
151,40006014,13,11,0
152,40006015,11,9,0
153,40006016,23,21,2
154,40006017,10,8,2
155,40006018,18,16,2
156,40006019,18,15,8
157,40006020,19,18,7
158,40006021,10,7,1
159,40006022,18,14,2
160,40006023,23,18,4
161,40006024,27,22,13
162,40006025,30,22,0
163,40006026,26,21,6
164,40006027,12,11,1
165,40006028,16,14,6
166,40006029,14,12,1
167,40006030,21,16,1
168,40006031,12,10,0
169,40006032,15,10,0
170,40006033,14,13,3
171,40006034,17,13,0
172,40007001,5,4,0
173,40007002,13,10,2
174,40007003,17,15,1
175,40007004,19,19,2
176,40007005,18,15,1
177,40007006,22,19,1
178,40007007,11,9,2
179,40007008,12,8,1
180,40007009,14,13,0
181,40007010,7,5,0
182,40007011,23,16,2
183,40007012,20,18,0
184,40007013,24,18,2
185,40007014,18,15,4
186,40007015,16,11,3
187,40007016,13,12,6
188,40007017,14,11,1
189,40007018,13,11,1
190,40007019,11,6,1
191,40007020,6,6,1
192,40007021,22,15,1
193,40007022,23,19,2
194,40007023,13,11,2
195,40007024,20,17,2
196,40007025,24,19,7
197,40007026,20,17,2
198,40007027,23,19,7
199,40007028,13,10,1
200,40007029,12,11,1
201,40008001,10,7,2
202,40008002,13,9,2
203,40008003,14,11,2
204,40008004,23,19,2
205,40008005,10,7,0
206,40008006,12,10,2
207,40008007,7,5,1
208,40008008,22,20,3
209,40008009,29,23,6
210,40008010,17,13,0
211,40008011,23,16,4
212,40008012,19,17,3
213,40008013,17,16,1
214,40008014,13,12,3
215,40008015,14,11,4
216,40008016,16,15,1
217,40008017,16,10,1
218,40008018,11,8,0
219,40008019,11,10,2
220,40008020,24,16,2
